,Ticker,Market Capitalization,Stock Price,Number of Shares to Buy
0,MMM,56547962880.0,102.19,N/A
1,AOS,11994672128.0,81.78,N/A
2,ABT,180764950528.0,103.91,N/A
3,ABBV,302882029568.0,171.52,N/A
4,ACN,190051172352.0,303.41,N/A
5,ADBE,246326427648.0,555.54,N/A
6,AMD,262181650432.0,162.21,N/A
7,AES,12486419456.0,17.57,N/A
8,AFL,50747908096.0,89.31,N/A
9,A,37820977152.0,129.63,N/A
10,APD,57366061056.0,258.05,N/A
11,ABNB,96261406720.0,151.63,N/A
12,AKAM,13720715264.0,90.08,N/A
13,ALB,11226178560.0,95.52,N/A
14,ARE,20456065024.0,116.97,N/A
15,ALGN,18175258624.0,241.43,N/A
16,ALLE,10331119616.0,118.15,N/A
17,LNT,13049692160.0,50.9,N/A
18,ALL,42136670208.0,159.66,N/A
19,GOOGL,2257913118720.0,182.15,N/A
20,GOOG,2258413813760.0,183.42,N/A
21,MO,78238040064.0,45.55,N/A
22,AMZN,2011075444736.0,193.25,N/A
23,AMCR,14135425024.0,9.78,N/A
24,AEE,18962903040.0,71.11,N/A
25,AAL,7433499648.0,11.33,N/A
26,AEP,46249680896.0,87.74,N/A
27,AXP,166554599424.0,231.55,N/A
28,AIG,49270710272.0,74.24,N/A
29,AMT,90770604032.0,194.38,N/A
30,AWK,25163339776.0,129.16,N/A
31,AMP,42430603264.0,427.19,N/A
32,AME,38588366848.0,166.71,N/A
33,AMGN,167609122816.0,312.45,N/A
34,APH,80925523968.0,67.37,N/A
35,ADI,113266491392.0,228.26,N/A
36,ANSS,28066949120.0,321.5,N/A
37,AON,63833391104.0,293.58,N/A
38,APA,10927892480.0,29.44,N/A
39,AAPL,3229668081664.0,210.62,N/A
40,AMAT,195393814528.0,235.99,N/A
41,APTV,19158605824.0,70.42,N/A
42,ACGL,37883592704.0,100.89,N/A
43,ADM,29888778240.0,60.45,N/A
44,ANET,109827473408.0,350.48,N/A
45,AJG,56663384064.0,259.31,N/A
46,AIZ,8642638848.0,166.25,N/A
47,T,137021947904.0,19.11,N/A
48,ATO,17599801344.0,116.65,N/A
49,ADSK,53327699968.0,247.45,N/A
50,ADP,97693671424.0,238.69,N/A
51,AZO,50635128832.0,2964.1,N/A
52,AVB,29416861696.0,206.89,N/A
53,AVY,17613000704.0,218.65,N/A
54,AXON,22205468672.0,294.24,N/A
55,BKR,35328614400.0,35.17,N/A
56,BALL,18628886528.0,60.02,N/A
57,BAC,311016128512.0,39.77,N/A
58,BK,44786700288.0,59.89,N/A
59,BBWI,8717170688.0,39.05,N/A
60,BAX,17045451776.0,33.45,N/A
61,BDX,67543597056.0,233.71,N/A
63,BBY,18182533120.0,84.29,N/A
64,BIO,7842926592.0,273.11,N/A
65,TECH,11290964992.0,71.65,N/A
